,Nama,Waktu,Ulasan,Label,Cleaning,CaseFolding,slangword,Tokenizing,Stopword_Removal,Stemming,Full_Text_Stemmed
10,Ervintri Yudiantoro,4 hari lalu,Tempat nyaman & rasa ok,positif,Tempat nyaman rasa ok,tempat nyaman rasa ok,tempat nyaman rasa ok,"['tempat', 'nyaman', 'rasa', 'ok']","['nyaman', 'ok']","['nyaman', 'ok']",nyaman ok
11,Ummu Azzahra,setahun lalu,"Rasa lumayan meskipun bumbu kurang, empuk, tapi sambal tidak pedas. Beli bebek sambal pencit dan bebek kremes req. Paha. Malah sebagian d kasi bagian dada dan salah satu kremes dikasih ayam. Terlanjur d belah2 gk tau klo ada menu ayam😣.. …",netral,Rasa lumayan meskipun bumbu kurang empuk tapi sambal tidak pedas Beli bebek sambal pencit dan bebek kremes req Paha Malah sebagian kasi bagian dada dan salah satu kremes dikasih ayam Terlanjur belah gk tau klo ada menu ayam ,rasa lumayan meskipun bumbu kurang empuk tapi sambal tidak pedas beli bebek sambal pencit dan bebek kremes req paha malah sebagian kasi bagian dada dan salah satu kremes dikasih ayam terlanjur belah gk tau klo ada menu ayam ,rasa lumayan meskipun bumbu kurang empuk tapi sambal tidak pedas beli bebek sambal pencit dan bebek kremes req paha malah sebagian kasi bagian dada dan salah satu kremes dikasih ayam terlanjur belah gk tau klo ada menu ayam,"['rasa', 'lumayan', 'meskipun', 'bumbu', 'kurang', 'empuk', 'tapi', 'sambal', 'tidak', 'pedas', 'beli', 'bebek', 'sambal', 'pencit', 'dan', 'bebek', 'kremes', 'req', 'paha', 'malah', 'sebagian', 'kasi', 'bagian', 'dada', 'dan', 'salah', 'satu', 'kremes', 'dikasih', 'ayam', 'terlanjur', 'belah', 'gk', 'tau', 'klo', 'ada', 'menu', 'ayam']","['lumayan', 'bumbu', 'empuk', 'sambal', 'pedas', 'beli', 'bebek', 'sambal', 'pencit', 'bebek', 'kremes', 'req', 'paha', 'kasi', 'dada', 'salah', 'kremes', 'dikasih', 'ayam', 'terlanjur', 'belah', 'gk', 'tau', 'klo', 'menu', 'ayam']","['lumayan', 'bumbu', 'empuk', 'sambal', 'peda', 'beli', 'bebek', 'sambal', 'pencit', 'bebek', 'kreme', 'req', 'paha', 'kasi', 'dada', 'salah', 'kreme', 'dikasih', 'ayam', 'terlanjur', 'belah', 'gk', 'tau', 'klo', 'menu', 'ayam']",lumayan bumbu empuk sambal peda beli bebek sambal pencit bebek kreme req paha kasi dada salah kreme dikasih ayam terlanjur belah gk tau klo menu ayam
12,PakNoor Kudus,2 tahun lalu,Sepanjang jalan dari Suramadu ke Pamekasan banyak sekali resto warung makan dengan menu nasi bebek.. ini salah satunya.. kita berhenti makan malam di sini karena yang sebelahnya lebih ramai.. ini pun ramai dan luas.. parkirnya juga cukup …,positif,Sepanjang jalan dari Suramadu ke Pamekasan banyak sekali resto warung makan dengan menu nasi bebek ini salah satunya kita berhenti makan malam di sini karena yang sebelahnya lebih ramai ini pun ramai dan luas parkirnya juga cukup ,sepanjang jalan dari suramadu ke pamekasan banyak sekali resto warung makan dengan menu nasi bebek ini salah satunya kita berhenti makan malam di sini karena yang sebelahnya lebih ramai ini pun ramai dan luas parkirnya juga cukup ,sepanjang jalan dari suramadu ke pamekasan banyak sekali resto warung makan dengan menu nasi bebek ini salah satunya kita berhenti makan malam di sini karena yang sebelahnya lebih ramai ini pun ramai dan luas parkirnya juga cukup,"['sepanjang', 'jalan', 'dari', 'suramadu', 'ke', 'pamekasan', 'banyak', 'sekali', 'resto', 'warung', 'makan', 'dengan', 'menu', 'nasi', 'bebek', 'ini', 'salah', 'satunya', 'kita', 'berhenti', 'makan', 'malam', 'di', 'sini', 'karena', 'yang', 'sebelahnya', 'lebih', 'ramai', 'ini', 'pun', 'ramai', 'dan', 'luas', 'parkirnya', 'juga', 'cukup']","['jalan', 'suramadu', 'pamekasan', 'resto', 'warung', 'makan', 'menu', 'nasi', 'bebek', 'salah', 'satunya', 'berhenti', 'makan', 'malam', 'sebelahnya', 'ramai', 'ramai', 'luas', 'parkirnya']","['jalan', 'suramadu', 'pamekasan', 'resto', 'warung', 'makan', 'menu', 'nasi', 'bebek', 'salah', 'satunya', 'berhenti', 'makan', 'malam', 'sebelahnya', 'ramai', 'ramai', 'lua', 'parkirnya']",jalan suramadu pamekasan resto warung makan menu nasi bebek salah satunya berhenti makan malam sebelahnya ramai ramai lua parkirnya
13,R. Prasetyo Wibowo,5 tahun lalu,"Tempat bersih dan nyaman, tersedia musholla dan toilet yang bersih. Kesini makan nasi ayam goreng, dagingnya empuk dengan sedikit minyak, ada bumbunya, sambel pencitnya berasa pedas kecut. Tahu tempe gorengnya cocok mendampingi menu utama. Kalo ditambah pilihan sambel terasi akan lebih baik lagi.",positif,Tempat bersih dan nyaman tersedia musholla dan toilet yang bersih Kesini makan nasi ayam goreng dagingnya empuk dengan sedikit minyak ada bumbunya sambel pencitnya berasa pedas kecut Tahu tempe gorengnya cocok mendampingi menu utama Kalo ditambah pilihan sambel terasi akan lebih baik lagi ,tempat bersih dan nyaman tersedia musholla dan toilet yang bersih kesini makan nasi ayam goreng dagingnya empuk dengan sedikit minyak ada bumbunya sambel pencitnya berasa pedas kecut tahu tempe gorengnya cocok mendampingi menu utama kalo ditambah pilihan sambel terasi akan lebih baik lagi ,tempat bersih dan nyaman tersedia musholla dan toilet yang bersih kesini makan nasi ayam goreng dagingnya empuk dengan sedikit minyak ada bumbunya sambel pencitnya berasa pedas kecut tahu tempe gorengnya cocok mendampingi menu utama kalo ditambah pilihan sambel terasi akan lebih baik lagi,"['tempat', 'bersih', 'dan', 'nyaman', 'tersedia', 'musholla', 'dan', 'toilet', 'yang', 'bersih', 'kesini', 'makan', 'nasi', 'ayam', 'goreng', 'dagingnya', 'empuk', 'dengan', 'sedikit', 'minyak', 'ada', 'bumbunya', 'sambel', 'pencitnya', 'berasa', 'pedas', 'kecut', 'tahu', 'tempe', 'gorengnya', 'cocok', 'mendampingi', 'menu', 'utama', 'kalo', 'ditambah', 'pilihan', 'sambel', 'terasi', 'akan', 'lebih', 'baik', 'lagi']","['bersih', 'nyaman', 'tersedia', 'musholla', 'toilet', 'bersih', 'kesini', 'makan', 'nasi', 'ayam', 'goreng', 'dagingnya', 'empuk', 'minyak', 'bumbunya', 'sambel', 'pencitnya', 'berasa', 'pedas', 'kecut', 'tempe', 'gorengnya', 'cocok', 'mendampingi', 'menu', 'utama', 'kalo', 'ditambah', 'pilihan', 'sambel', 'terasi']","['bersih', 'nyaman', 'tersedia', 'musholla', 'toilet', 'bersih', 'kesini', 'makan', 'nasi', 'ayam', 'goreng', 'dagingnya', 'empuk', 'minyak', 'bumbunya', 'sambel', 'pencitnya', 'berasa', 'peda', 'kecut', 'temp', 'gorengnya', 'cocok', 'mendampingi', 'menu', 'utama', 'kalo', 'ditambah', 'pilihan', 'sambel', 'terasi']",bersih nyaman tersedia musholla toilet bersih kesini makan nasi ayam goreng dagingnya empuk minyak bumbunya sambel pencitnya berasa peda kecut temp gorengnya cocok mendampingi menu utama kalo ditambah pilihan sambel terasi
14,Chacha Lena,4 bulan lalu,"tempatnya enak, adem, parkirannya cukup luas. rasa bebek bumbu hitamnya mantap sekali tetapi jika ingin takeaway ke luar kota lebih baik bumbu dan bebeknya dipisah. setiap ke daerah sini pasti maksain mampir karena enaknya itu. highly recommend food.",positif,tempatnya enak adem parkirannya cukup luas rasa bebek bumbu hitamnya mantap sekali tetapi jika ingin takeaway ke luar kota lebih baik bumbu dan bebeknya dipisah setiap ke daerah sini pasti maksain mampir karena enaknya itu highly recommend food ,tempatnya enak adem parkirannya cukup luas rasa bebek bumbu hitamnya mantap sekali tetapi jika ingin takeaway ke luar kota lebih baik bumbu dan bebeknya dipisah setiap ke daerah sini pasti maksain mampir karena enaknya itu highly recommend food ,tempatnya enak adem parkirannya cukup luas rasa bebek bumbu hitamnya mantap sekali tetapi jika ingin takeaway ke luar kota lebih baik bumbu dan bebeknya dipisah setiap ke daerah sini pasti maksain mampir karena enaknya itu highly recommend food,"['tempatnya', 'enak', 'adem', 'parkirannya', 'cukup', 'luas', 'rasa', 'bebek', 'bumbu', 'hitamnya', 'mantap', 'sekali', 'tetapi', 'jika', 'ingin', 'takeaway', 'ke', 'luar', 'kota', 'lebih', 'baik', 'bumbu', 'dan', 'bebeknya', 'dipisah', 'setiap', 'ke', 'daerah', 'sini', 'pasti', 'maksain', 'mampir', 'karena', 'enaknya', 'itu', 'highly', 'recommend', 'food']","['tempatnya', 'enak', 'adem', 'parkirannya', 'luas', 'bebek', 'bumbu', 'hitamnya', 'mantap', 'takeaway', 'kota', 'bumbu', 'bebeknya', 'dipisah', 'daerah', 'maksain', 'mampir', 'enaknya', 'highly', 'recommend', 'food']","['tempatnya', 'enak', 'adem', 'parkirannya', 'lua', 'bebek', 'bumbu', 'hitamnya', 'mantap', 'takeaway', 'kota', 'bumbu', 'bebeknya', 'dipisah', 'daerah', 'maksain', 'mampir', 'enaknya', 'highli', 'recommend', 'food']",tempatnya enak adem parkirannya lua bebek bumbu hitamnya mantap takeaway kota bumbu bebeknya dipisah daerah maksain mampir enaknya highli recommend food
15,Maharani Ika Ambarsari,2 tahun lalu,"Lokasi di pinggir jalan raya dengan tulisan yang besar jadi gampang untuk ditemukan. Parkiran sangat luas, yang bawa rombongan ngga perlu khawatir susah parkir. Disini saya pesan nasi bebek goreng + es jeruk (gelasnya jumbo!). 1 porsi nasi …",positif,Lokasi di pinggir jalan raya dengan tulisan yang besar jadi gampang untuk ditemukan Parkiran sangat luas yang bawa rombongan ngga perlu khawatir susah parkir Disini saya pesan nasi bebek goreng es jeruk gelasnya jumbo porsi nasi ,lokasi di pinggir jalan raya dengan tulisan yang besar jadi gampang untuk ditemukan parkiran sangat luas yang bawa rombongan ngga perlu khawatir susah parkir disini saya pesan nasi bebek goreng es jeruk gelasnya jumbo porsi nasi ,lokasi di pinggir jalan raya dengan tulisan yang besar jadi gampang untuk ditemukan parkiran sangat luas yang bawa rombongan ngga perlu khawatir susah parkir disini saya pesan nasi bebek goreng es jeruk gelasnya jumbo porsi nasi,"['lokasi', 'di', 'pinggir', 'jalan', 'raya', 'dengan', 'tulisan', 'yang', 'besar', 'jadi', 'gampang', 'untuk', 'ditemukan', 'parkiran', 'sangat', 'luas', 'yang', 'bawa', 'rombongan', 'ngga', 'perlu', 'khawatir', 'susah', 'parkir', 'disini', 'saya', 'pesan', 'nasi', 'bebek', 'goreng', 'es', 'jeruk', 'gelasnya', 'jumbo', 'porsi', 'nasi']","['lokasi', 'pinggir', 'jalan', 'raya', 'tulisan', 'gampang', 'parkiran', 'luas', 'bawa', 'rombongan', 'ngga', 'khawatir', 'susah', 'parkir', 'pesan', 'nasi', 'bebek', 'goreng', 'es', 'jeruk', 'gelasnya', 'jumbo', 'porsi', 'nasi']","['lokasi', 'pinggir', 'jalan', 'raya', 'tulisan', 'gampang', 'parkiran', 'lua', 'bawa', 'rombongan', 'ngga', 'khawatir', 'susah', 'parkir', 'pesan', 'nasi', 'bebek', 'goreng', 'es', 'jeruk', 'gelasnya', 'jumbo', 'porsi', 'nasi']",lokasi pinggir jalan raya tulisan gampang parkiran lua bawa rombongan ngga khawatir susah parkir pesan nasi bebek goreng es jeruk gelasnya jumbo porsi nasi
16,Mas Memed,4 tahun lalu,"Menu bebek ala Bangkalan yang bisa dicoba sebelum melanjutkan perjalanan ke Sampang, Pamekasan dan Sumenep atau sebaliknya, dari kota-kota tersebut ke Bangkalan dan Surabaya. Lokasinya tidak terlalu jauh dari jembatan Suramadu ke arah Sampang. Parkirnya luas, tempat makannya luas, pelayanannya cepat. Harga sopan",positif,Menu bebek ala Bangkalan yang bisa dicoba sebelum melanjutkan perjalanan ke Sampang Pamekasan dan Sumenep atau sebaliknya dari kota kota tersebut ke Bangkalan dan Surabaya Lokasinya tidak terlalu jauh dari jembatan Suramadu ke arah Sampang Parkirnya luas tempat makannya luas pelayanannya cepat Harga sopan,menu bebek ala bangkalan yang bisa dicoba sebelum melanjutkan perjalanan ke sampang pamekasan dan sumenep atau sebaliknya dari kota kota tersebut ke bangkalan dan surabaya lokasinya tidak terlalu jauh dari jembatan suramadu ke arah sampang parkirnya luas tempat makannya luas pelayanannya cepat harga sopan,menu bebek ala bangkalan yang bisa dicoba sebelum melanjutkan perjalanan ke sampang pamekasan dan sumenep atau sebaliknya dari kota kota tersebut ke bangkalan dan surabaya lokasinya tidak terlalu jauh dari jembatan suramadu ke arah sampang parkirnya luas tempat makannya luas pelayanannya cepat harga sopan,"['menu', 'bebek', 'ala', 'bangkalan', 'yang', 'bisa', 'dicoba', 'sebelum', 'melanjutkan', 'perjalanan', 'ke', 'sampang', 'pamekasan', 'dan', 'sumenep', 'atau', 'sebaliknya', 'dari', 'kota', 'kota', 'tersebut', 'ke', 'bangkalan', 'dan', 'surabaya', 'lokasinya', 'tidak', 'terlalu', 'jauh', 'dari', 'jembatan', 'suramadu', 'ke', 'arah', 'sampang', 'parkirnya', 'luas', 'tempat', 'makannya', 'luas', 'pelayanannya', 'cepat', 'harga', 'sopan']","['menu', 'bebek', 'ala', 'bangkalan', 'dicoba', 'melanjutkan', 'perjalanan', 'sampang', 'pamekasan', 'sumenep', 'kota', 'kota', 'bangkalan', 'surabaya', 'lokasinya', 'jembatan', 'suramadu', 'arah', 'sampang', 'parkirnya', 'luas', 'makannya', 'luas', 'pelayanannya', 'cepat', 'harga', 'sopan']","['menu', 'bebek', 'ala', 'bangkalan', 'dicoba', 'melanjutkan', 'perjalanan', 'sampang', 'pamekasan', 'sumenep', 'kota', 'kota', 'bangkalan', 'surabaya', 'lokasinya', 'jembatan', 'suramadu', 'arah', 'sampang', 'parkirnya', 'lua', 'makannya', 'lua', 'pelayanannya', 'cepat', 'harga', 'sopan']",menu bebek ala bangkalan dicoba melanjutkan perjalanan sampang pamekasan sumenep kota kota bangkalan surabaya lokasinya jembatan suramadu arah sampang parkirnya lua makannya lua pelayanannya cepat harga sopan
17,Munjil Anam,5 tahun lalu,"Kuliner area yg nyaman. Berada di jalur utama Madura. Menunya sangat variatif. Bebek menu utama, tapi menu yg lain gakalah nendang, apalagi sop buntut dan es Maduranya (kelapa muda+leci). Hemm...
Ada tmpt bermain anakmya juga.",positif,Kuliner area yg nyaman Berada di jalur utama Madura Menunya sangat variatif Bebek menu utama tapi menu yg lain gakalah nendang apalagi sop buntut dan es Maduranya kelapa muda leci Hemm Ada tmpt bermain anakmya juga ,kuliner area yg nyaman berada di jalur utama madura menunya sangat variatif bebek menu utama tapi menu yg lain gakalah nendang apalagi sop buntut dan es maduranya kelapa muda leci hemm ada tmpt bermain anakmya juga ,kuliner area yg nyaman berada di jalur utama madura menunya sangat variatif bebek menu utama tapi menu yg lain gakalah nendang apalagi sop buntut dan es maduranya kelapa muda leci hemm ada tmpt bermain anakmya juga,"['kuliner', 'area', 'yg', 'nyaman', 'berada', 'di', 'jalur', 'utama', 'madura', 'menunya', 'sangat', 'variatif', 'bebek', 'menu', 'utama', 'tapi', 'menu', 'yg', 'lain', 'gakalah', 'nendang', 'apalagi', 'sop', 'buntut', 'dan', 'es', 'maduranya', 'kelapa', 'muda', 'leci', 'hemm', 'ada', 'tmpt', 'bermain', 'anakmya', 'juga']","['kuliner', 'area', 'nyaman', 'jalur', 'utama', 'madura', 'menunya', 'variatif', 'bebek', 'menu', 'utama', 'menu', 'gakalah', 'nendang', 'sop', 'buntut', 'es', 'maduranya', 'kelapa', 'muda', 'leci', 'hemm', 'tmpt', 'bermain', 'anakmya']","['kulin', 'area', 'nyaman', 'jalur', 'utama', 'madura', 'menunya', 'variatif', 'bebek', 'menu', 'utama', 'menu', 'gakalah', 'nendang', 'sop', 'buntut', 'es', 'maduranya', 'kelapa', 'muda', 'leci', 'hemm', 'tmpt', 'bermain', 'anakmya']",kulin area nyaman jalur utama madura menunya variatif bebek menu utama menu gakalah nendang sop buntut es maduranya kelapa muda leci hemm tmpt bermain anakmya
18,julie Wibowo,4 tahun lalu,"Tempat luas, parkir memadai, ada toilet menu variasinya banyak bukan cuma bebek aja, jadi yg g mau bebek bisa pilihan lainnya.
Rasa lumayan, harga wajar. …",positif,Tempat luas parkir memadai ada toilet menu variasinya banyak bukan cuma bebek aja jadi yg mau bebek bisa pilihan lainnya Rasa lumayan harga wajar ,tempat luas parkir memadai ada toilet menu variasinya banyak bukan cuma bebek aja jadi yg mau bebek bisa pilihan lainnya rasa lumayan harga wajar ,tempat luas parkir memadai ada toilet menu variasinya banyak bukan cuma bebek aja jadi yg mau bebek bisa pilihan lainnya rasa lumayan harga wajar,"['tempat', 'luas', 'parkir', 'memadai', 'ada', 'toilet', 'menu', 'variasinya', 'banyak', 'bukan', 'cuma', 'bebek', 'aja', 'jadi', 'yg', 'mau', 'bebek', 'bisa', 'pilihan', 'lainnya', 'rasa', 'lumayan', 'harga', 'wajar']","['luas', 'parkir', 'memadai', 'toilet', 'menu', 'variasinya', 'bebek', 'aja', 'bebek', 'pilihan', 'lumayan', 'harga', 'wajar']","['lua', 'parkir', 'memadai', 'toilet', 'menu', 'variasinya', 'bebek', 'aja', 'bebek', 'pilihan', 'lumayan', 'harga', 'wajar']",lua parkir memadai toilet menu variasinya bebek aja bebek pilihan lumayan harga wajar
19,Indra H.,3 tahun lalu,"lokasi kiri jalan dari arah suramadu ke sampang, rasa setara dg bebek sinjay, tetapi ukuran bebek lebih kecil, harga sama dg sinjay. Menu selain bebek ada rawon,gurami, sop buntut, ayam bakar,urap urap",netral,lokasi kiri jalan dari arah suramadu ke sampang rasa setara dg bebek sinjay tetapi ukuran bebek lebih kecil harga sama dg sinjay Menu selain bebek ada rawon gurami sop buntut ayam bakar urap urap,lokasi kiri jalan dari arah suramadu ke sampang rasa setara dg bebek sinjay tetapi ukuran bebek lebih kecil harga sama dg sinjay menu selain bebek ada rawon gurami sop buntut ayam bakar urap urap,lokasi kiri jalan dari arah suramadu ke sampang rasa setara dg bebek sinjay tetapi ukuran bebek lebih kecil harga sama dg sinjay menu selain bebek ada rawon gurami sop buntut ayam bakar urap urap,"['lokasi', 'kiri', 'jalan', 'dari', 'arah', 'suramadu', 'ke', 'sampang', 'rasa', 'setara', 'dg', 'bebek', 'sinjay', 'tetapi', 'ukuran', 'bebek', 'lebih', 'kecil', 'harga', 'sama', 'dg', 'sinjay', 'menu', 'selain', 'bebek', 'ada', 'rawon', 'gurami', 'sop', 'buntut', 'ayam', 'bakar', 'urap', 'urap']","['lokasi', 'kiri', 'jalan', 'arah', 'suramadu', 'sampang', 'setara', 'dg', 'bebek', 'sinjay', 'ukuran', 'bebek', 'harga', 'dg', 'sinjay', 'menu', 'bebek', 'rawon', 'gurami', 'sop', 'buntut', 'ayam', 'bakar', 'urap', 'urap']","['lokasi', 'kiri', 'jalan', 'arah', 'suramadu', 'sampang', 'setara', 'dg', 'bebek', 'sinjay', 'ukuran', 'bebek', 'harga', 'dg', 'sinjay', 'menu', 'bebek', 'rawon', 'gurami', 'sop', 'buntut', 'ayam', 'bakar', 'urap', 'urap']",lokasi kiri jalan arah suramadu sampang setara dg bebek sinjay ukuran bebek harga dg sinjay menu bebek rawon gurami sop buntut ayam bakar urap urap
20,puti ayu,2 tahun lalu,"bebek yang memiliki khas juga di madura. menunya bervariasi mulai bebek goreng, bebek bumbu hitam, bebek bakar, nasi goreng, kentang goreng, dan lain sebagainya. minuman juga beragam, tempatnya luas dan ada tempat shalat. bisa untuk …",positif,bebek yang memiliki khas juga di madura menunya bervariasi mulai bebek goreng bebek bumbu hitam bebek bakar nasi goreng kentang goreng dan lain sebagainya minuman juga beragam tempatnya luas dan ada tempat shalat bisa untuk ,bebek yang memiliki khas juga di madura menunya bervariasi mulai bebek goreng bebek bumbu hitam bebek bakar nasi goreng kentang goreng dan lain sebagainya minuman juga beragam tempatnya luas dan ada tempat shalat bisa untuk ,bebek yang memiliki khas juga di madura menunya bervariasi mulai bebek goreng bebek bumbu hitam bebek bakar nasi goreng kentang goreng dan lain sebagainya minuman juga beragam tempatnya luas dan ada tempat shalat bisa untuk,"['bebek', 'yang', 'memiliki', 'khas', 'juga', 'di', 'madura', 'menunya', 'bervariasi', 'mulai', 'bebek', 'goreng', 'bebek', 'bumbu', 'hitam', 'bebek', 'bakar', 'nasi', 'goreng', 'kentang', 'goreng', 'dan', 'lain', 'sebagainya', 'minuman', 'juga', 'beragam', 'tempatnya', 'luas', 'dan', 'ada', 'tempat', 'shalat', 'bisa', 'untuk']","['bebek', 'memiliki', 'khas', 'madura', 'menunya', 'bervariasi', 'bebek', 'goreng', 'bebek', 'bumbu', 'hitam', 'bebek', 'bakar', 'nasi', 'goreng', 'kentang', 'goreng', 'minuman', 'beragam', 'tempatnya', 'luas', 'shalat']","['bebek', 'memiliki', 'kha', 'madura', 'menunya', 'bervariasi', 'bebek', 'goreng', 'bebek', 'bumbu', 'hitam', 'bebek', 'bakar', 'nasi', 'goreng', 'kentang', 'goreng', 'minuman', 'beragam', 'tempatnya', 'lua', 'shalat']",bebek memiliki kha madura menunya bervariasi bebek goreng bebek bumbu hitam bebek bakar nasi goreng kentang goreng minuman beragam tempatnya lua shalat
21,rahmatullah permadi,5 tahun lalu,"Letaknya setelah pom bensin setelah jalan utama suramadu. Nama tempat ini bebek RIZKY. Jangan salah dengan yg bebek RISQI 2. Karena memang beda. Kalau dari fasilitas, layak diberi bintang 5. Karena tempat parkirnya luas. Kelihatannya …",positif,Letaknya setelah pom bensin setelah jalan utama suramadu Nama tempat ini bebek RIZKY Jangan salah dengan yg bebek RISQI Karena memang beda Kalau dari fasilitas layak diberi bintang Karena tempat parkirnya luas Kelihatannya ,letaknya setelah pom bensin setelah jalan utama suramadu nama tempat ini bebek rizky jangan salah dengan yg bebek risqi karena memang beda kalau dari fasilitas layak diberi bintang karena tempat parkirnya luas kelihatannya ,letaknya setelah pom bensin setelah jalan utama suramadu nama tempat ini bebek rizky jangan salah dengan yg bebek risqi karena memang beda kalau dari fasilitas layak diberi bintang karena tempat parkirnya luas kelihatannya,"['letaknya', 'setelah', 'pom', 'bensin', 'setelah', 'jalan', 'utama', 'suramadu', 'nama', 'tempat', 'ini', 'bebek', 'rizky', 'jangan', 'salah', 'dengan', 'yg', 'bebek', 'risqi', 'karena', 'memang', 'beda', 'kalau', 'dari', 'fasilitas', 'layak', 'diberi', 'bintang', 'karena', 'tempat', 'parkirnya', 'luas', 'kelihatannya']","['letaknya', 'pom', 'bensin', 'jalan', 'utama', 'suramadu', 'nama', 'bebek', 'rizky', 'salah', 'bebek', 'risqi', 'beda', 'fasilitas', 'layak', 'bintang', 'parkirnya', 'luas']","['letaknya', 'pom', 'bensin', 'jalan', 'utama', 'suramadu', 'nama', 'bebek', 'rizki', 'salah', 'bebek', 'risqi', 'beda', 'fasilita', 'layak', 'bintang', 'parkirnya', 'lua']",letaknya pom bensin jalan utama suramadu nama bebek rizki salah bebek risqi beda fasilita layak bintang parkirnya lua
22,abu qnan,3 bulan lalu,Rasa makanan & minuman yg lumayan enak daripada kompetitornya. Bervariasi. Parkir yg luas. Namun kebersihan yg kurang baik di tempat makan atau di musholla.,netral,Rasa makanan minuman yg lumayan enak daripada kompetitornya Bervariasi Parkir yg luas Namun kebersihan yg kurang baik di tempat makan atau di musholla ,rasa makanan minuman yg lumayan enak daripada kompetitornya bervariasi parkir yg luas namun kebersihan yg kurang baik di tempat makan atau di musholla ,rasa makanan minuman yg lumayan enak daripada kompetitornya bervariasi parkir yg luas namun kebersihan yg kurang baik di tempat makan atau di musholla,"['rasa', 'makanan', 'minuman', 'yg', 'lumayan', 'enak', 'daripada', 'kompetitornya', 'bervariasi', 'parkir', 'yg', 'luas', 'namun', 'kebersihan', 'yg', 'kurang', 'baik', 'di', 'tempat', 'makan', 'atau', 'di', 'musholla']","['makanan', 'minuman', 'lumayan', 'enak', 'kompetitornya', 'bervariasi', 'parkir', 'luas', 'kebersihan', 'makan', 'musholla']","['makanan', 'minuman', 'lumayan', 'enak', 'kompetitornya', 'bervariasi', 'parkir', 'lua', 'kebersihan', 'makan', 'musholla']",makanan minuman lumayan enak kompetitornya bervariasi parkir lua kebersihan makan musholla
23,B491 NDA,8 bulan lalu,Untuk hari ini minuman es teh dan tehnya sudah basi.... Mohon diperhatikan masalah menu atau hidangan agar pelanggan tidak kecewa,negatif,Untuk hari ini minuman es teh dan tehnya sudah basi Mohon diperhatikan masalah menu atau hidangan agar pelanggan tidak kecewa,untuk hari ini minuman es teh dan tehnya sudah basi mohon diperhatikan masalah menu atau hidangan agar pelanggan tidak kecewa,untuk hari ini minuman es teh dan tehnya sudah basi mohon diperhatikan masalah menu atau hidangan agar pelanggan tidak kecewa,"['untuk', 'hari', 'ini', 'minuman', 'es', 'teh', 'dan', 'tehnya', 'sudah', 'basi', 'mohon', 'diperhatikan', 'masalah', 'menu', 'atau', 'hidangan', 'agar', 'pelanggan', 'tidak', 'kecewa']","['minuman', 'es', 'teh', 'tehnya', 'basi', 'mohon', 'diperhatikan', 'menu', 'hidangan', 'pelanggan', 'kecewa']","['minuman', 'es', 'teh', 'tehnya', 'basi', 'mohon', 'diperhatikan', 'menu', 'hidangan', 'pelanggan', 'kecewa']",minuman es teh tehnya basi mohon diperhatikan menu hidangan pelanggan kecewa
24,Abdul Rohman (abdrohmn),2 tahun lalu,"22 Oktober 2021

Mesan nasi bebek + cappucino ice. …",netral, Oktober Mesan nasi bebek cappucino ice , oktober mesan nasi bebek cappucino ice ,oktober mesan nasi bebek cappucino ice,"['oktober', 'mesan', 'nasi', 'bebek', 'cappucino', 'ice']","['oktober', 'mesan', 'nasi', 'bebek', 'cappucino', 'ice']","['oktob', 'mesan', 'nasi', 'bebek', 'cappucino', 'ice']",oktob mesan nasi bebek cappucino ice
